Movie title,Clip index,IMDB link,Fandom link,YouTube link
An American Tail,Vro5qtVA4PE,https://www.imdb.com/title/tt0090633/,https://anamericantail.fandom.com/wiki/Category:Characters,https://www.youtube.com/watch?v=Vro5qtVA4PE
An American Tail,gQMtp2WxEA4,https://www.imdb.com/title/tt0090633/,https://anamericantail.fandom.com/wiki/Category:Characters,https://www.youtube.com/watch?v=gQMtp2WxEA4
An American Tail,XWgSKXw8ZwI,https://www.imdb.com/title/tt0090633/,https://anamericantail.fandom.com/wiki/Category:Characters,https://www.youtube.com/watch?v=XWgSKXw8ZwI
An American Tail,kXvNxXDDHSY,https://www.imdb.com/title/tt0090633/,https://anamericantail.fandom.com/wiki/Category:Characters,https://www.youtube.com/watch?v=kXvNxXDDHSY
An American Tail,2jzlSeFLr7A,https://www.imdb.com/title/tt0090633/,https://anamericantail.fandom.com/wiki/Category:Characters,https://www.youtube.com/watch?v=2jzlSeFLr7A
An American Tail,HFAGAjkDaOU,https://www.imdb.com/title/tt0090633/,https://anamericantail.fandom.com/wiki/Category:Characters,https://www.youtube.com/watch?v=HFAGAjkDaOU
An American Tail,M93XQJPV51c,https://www.imdb.com/title/tt0090633/,https://anamericantail.fandom.com/wiki/Category:Characters,https://www.youtube.com/watch?v=M93XQJPV51c
An American Tail,65pGOp7qa_s,https://www.imdb.com/title/tt0090633/,https://anamericantail.fandom.com/wiki/Category:Characters,https://www.youtube.com/watch?v=65pGOp7qa_s
An American Tail,sJsCKwZLztk,https://www.imdb.com/title/tt0090633/,https://anamericantail.fandom.com/wiki/Category:Characters,https://www.youtube.com/watch?v=sJsCKwZLztk
The Land Before Time,kJg3GP4tH94,https://www.imdb.com/title/tt0095489/,https://landbeforetime.fandom.com/wiki/Category:Land_Before_Time_characters,https://www.youtube.com/watch?v=kJg3GP4tH94
The Land Before Time,WbW8GgAWKi8,https://www.imdb.com/title/tt0095489/,https://landbeforetime.fandom.com/wiki/Category:Land_Before_Time_characters,https://www.youtube.com/watch?v=WbW8GgAWKi8
The Land Before Time,QL7Qq67AJrY,https://www.imdb.com/title/tt0095489/,https://landbeforetime.fandom.com/wiki/Category:Land_Before_Time_characters,https://www.youtube.com/watch?v=QL7Qq67AJrY
The Land Before Time,FnjrwacqDLc,https://www.imdb.com/title/tt0095489/,https://landbeforetime.fandom.com/wiki/Category:Land_Before_Time_characters,https://www.youtube.com/watch?v=FnjrwacqDLc
The Land Before Time,2t2iFLshgWQ,https://www.imdb.com/title/tt0095489/,https://landbeforetime.fandom.com/wiki/Category:Land_Before_Time_characters,https://www.youtube.com/watch?v=2t2iFLshgWQ
The Land Before Time,hR1XzVQnfqY,https://www.imdb.com/title/tt0095489/,https://landbeforetime.fandom.com/wiki/Category:Land_Before_Time_characters,https://www.youtube.com/watch?v=hR1XzVQnfqY
The Land Before Time,weHHBdmI_Jw,https://www.imdb.com/title/tt0095489/,https://landbeforetime.fandom.com/wiki/Category:Land_Before_Time_characters,https://www.youtube.com/watch?v=weHHBdmI_Jw
The Land Before Time,I9uVquExMi4,https://www.imdb.com/title/tt0095489/,https://landbeforetime.fandom.com/wiki/Category:Land_Before_Time_characters,https://www.youtube.com/watch?v=I9uVquExMi4
All Dogs Go to Heaven,5KaMqmlEcJQ,https://www.imdb.com/title/tt0096787/,https://alldogsgotoheaven.fandom.com/wiki/Category:Characters,https://www.youtube.com/watch?v=5KaMqmlEcJQ
All Dogs Go to Heaven,pHB8Z35H29k,https://www.imdb.com/title/tt0096787/,https://alldogsgotoheaven.fandom.com/wiki/Category:Characters,https://www.youtube.com/watch?v=pHB8Z35H29k
All Dogs Go to Heaven,qe5s8UTNw4c,https://www.imdb.com/title/tt0096787/,https://alldogsgotoheaven.fandom.com/wiki/Category:Characters,https://www.youtube.com/watch?v=qe5s8UTNw4c
All Dogs Go to Heaven,wufYHJkbl7k,https://www.imdb.com/title/tt0096787/,https://alldogsgotoheaven.fandom.com/wiki/Category:Characters,https://www.youtube.com/watch?v=wufYHJkbl7k
All Dogs Go to Heaven,whCKn6cV-0k,https://www.imdb.com/title/tt0096787/,https://alldogsgotoheaven.fandom.com/wiki/Category:Characters,https://www.youtube.com/watch?v=whCKn6cV-0k
All Dogs Go to Heaven,1PLIzuZNuJI,https://www.imdb.com/title/tt0096787/,https://alldogsgotoheaven.fandom.com/wiki/Category:Characters,https://www.youtube.com/watch?v=1PLIzuZNuJI
All Dogs Go to Heaven,27U6dyYE9rA,https://www.imdb.com/title/tt0096787/,https://alldogsgotoheaven.fandom.com/wiki/Category:Characters,https://www.youtube.com/watch?v=27U6dyYE9rA
An American Tail: Fievel Goes West,S76Oq-NDyvw,https://www.imdb.com/title/tt0101329/,https://anamericantail.fandom.com/wiki/Category:Characters,https://www.youtube.com/watch?v=S76Oq-NDyvw
An American Tail: Fievel Goes West,c9YJ-KJZKyY,https://www.imdb.com/title/tt0101329/,https://anamericantail.fandom.com/wiki/Category:Characters,https://www.youtube.com/watch?v=c9YJ-KJZKyY
An American Tail: Fievel Goes West,Wq8gxNsz9ZQ,https://www.imdb.com/title/tt0101329/,https://anamericantail.fandom.com/wiki/Category:Characters,https://www.youtube.com/watch?v=Wq8gxNsz9ZQ
An American Tail: Fievel Goes West,DRtbf7iG8Nw,https://www.imdb.com/title/tt0101329/,https://anamericantail.fandom.com/wiki/Category:Characters,https://www.youtube.com/watch?v=DRtbf7iG8Nw
An American Tail: Fievel Goes West,q5eGg_CgBPk,https://www.imdb.com/title/tt0101329/,https://anamericantail.fandom.com/wiki/Category:Characters,https://www.youtube.com/watch?v=q5eGg_CgBPk
An American Tail: Fievel Goes West,cglsMVVevx8,https://www.imdb.com/title/tt0101329/,https://anamericantail.fandom.com/wiki/Category:Characters,https://www.youtube.com/watch?v=cglsMVVevx8
An American Tail: Fievel Goes West,CvLrYbRzjAE,https://www.imdb.com/title/tt0101329/,https://anamericantail.fandom.com/wiki/Category:Characters,https://www.youtube.com/watch?v=CvLrYbRzjAE
Chicken Run,ZVlfttyv5js,https://www.imdb.com/title/tt0120630/,https://chickenrun.fandom.com/wiki/Category:Characters,https://www.youtube.com/watch?v=ZVlfttyv5js
Chicken Run,0hNbRd78jOE,https://www.imdb.com/title/tt0120630/,https://chickenrun.fandom.com/wiki/Category:Characters,https://www.youtube.com/watch?v=0hNbRd78jOE
